11283,19930705,4.0
7230,19930705,3.0
14550,19930705,5.0
12293,19930705,5.0
11064,19930705,5.0
5926,19930705,5.0
12034,19930705,5.0
10451,19930705,4.0
11165,19930705,3.0
3864,19930705,4.0
14454,19930705,4.0
8743,19930705,4.0
8915,19930705,4.0
1,92930,1.0
11283,92930,5.0
1542,92930,3.0
12293,92930,5.0
3290,92930,4.0
5778,92930,4.0
14550,92930,4.0
17714,92930,4.0
17721,92930,5.0
9471,92930,5.0
1324,92930,5.0
16879,92930,4.0
1683,92930,5.0
14648,92930,4.0
14042,92930,5.0
897,92930,4.0
8644,92930,4.0
10986,92930,3.0
10186,92930,4.0
2862,92930,5.0
6329,92930,5.0
3106,92930,5.0
3107,92930,4.0
474,92930,5.0
487,92930,2.0
536,92930,2.0
12028,92930,1.0
1,18000000, 2.0
11283,18000000,5.0
3290,18000000,5.0
5778,18000000,5.0
12293,18000000,5.0
14550,18000000,5.0
9471,18000000,4.0
1683,18000000,4.0
12034,18000000,5.0
14456,18000000,4.0
14253,18000000,3.0
14577,18000000,3.0
10451,18000000,3.0
16879,18000000,3.0
13673,18000000,4.0
14648,18000000,4.0
3864,18000000,4.0
897,18000000,3.0
8644,18000000,4.0
8743,18000000,3.0
10186,18000000,3.0
3287,18000000,3.0
5496,18000000,5.0
3949,18000000,4.0
15124,18000000,4.0
6931,18000000,3.0
6329,18000000,4.0
10419,18000000,2.0
3106,18000000,4.0
3107,18000000,4.0
474,18000000,5.0
6068,18000000,3.5
12028,18000000,1.0
